127.0.0.1 - - [03/Apr/2014:22:35:10 +0530] "GET /StrutsProject/images/rigth_top_content.gif HTTP/1.1" 200 118
127.0.0.1 - - [03/Apr/2014:22:35:10 +0530] "GET /StrutsProject/images/left_top_content.gif HTTP/1.1" 200 169
127.0.0.1 - - [03/Apr/2014:22:35:10 +0530] "GET /StrutsProject/images/middle_bottom_content.gif HTTP/1.1" 200 131
127.0.0.1 - - [03/Apr/2014:22:35:10 +0530] "GET /StrutsProject/images/right_bottom_content.gif HTTP/1.1" 200 212
127.0.0.1 - - [03/Apr/2014:22:35:10 +0530] "GET /StrutsProject/images/left_bottom_content.gif HTTP/1.1" 200 204
127.0.0.1 - - [03/Apr/2014:22:35:42 +0530] "POST /StrutsProject/1928widnwidw HTTP/1.1" 200 2969
127.0.0.1 - - [03/Apr/2014:22:36:11 +0530] "POST /StrutsProject/1928widnwidw HTTP/1.1" 200 2969
127.0.0.1 - - [03/Apr/2014:22:36:11 +0530] "GET /StrutsProject/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2014:22:36:11 +0530] "GET /StrutsProject/images/Logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2014:22:36:38 +0530] "POST /StrutsProject/1928widnwidw HTTP/1.1" 200 2969
127.0.0.1 - - [03/Apr/2014:22:36:56 +0530] "POST /StrutsProject/1928widnwidw HTTP/1.1" 200 2969
127.0.0.1 - - [03/Apr/2014:22:37:04 +0530] "POST /StrutsProject/1928widnwidw HTTP/1.1" 200 3729
127.0.0.1 - - [03/Apr/2014:22:37:11 +0530] "POST /StrutsProject/1928widnwidw HTTP/1.1" 200 2969
127.0.0.1 - - [03/Apr/2014:22:37:59 +0530] "GET /StrutsProject/postrequirements.jsp HTTP/1.1" 200 11543
127.0.0.1 - - [03/Apr/2014:22:37:59 +0530] "GET /StrutsProject/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2014:22:37:59 +0530] "GET /StrutsProject/images/Logo.jpg HTTP/1.1" 304 -
